condition_label,medical_abstract
1,"Surgical strategy in thyroid disease. Over the past 8 years, 311 patients have undergone surgical treatment by the senior authors for thyroid disease. Over 80% of the cases were performed by the head and neck surgical service at Olive View County Hospital, Sylmar, Calif, with the remainder performed at UCLA-affiliated institutions. This service is an important source of thyroid surgical training for UCLA head and neck residents who rotate through this major affiliate. The purpose of this communication is to review our experience with these cases; to describe our overall surgical strategy; and to detail the specifics of our surgical procedure, which we have developed to safely train residents in the treatment of these challenging cases. This article deals with the specific problems of preservation of the recurrent nerve, the parathyroid glands, and the techniques for reimplantation of injured parathyroid glands; the management of larger, substernal thyroid glands; and our techniques for partial thyroid surgery. In addition, the difficult decisions in the management of thyroid cancer, such as completion thyroidectomy; the management of lymph node mestastases; and how tracheal, esophageal, or laryngeal invasion should be managed are discussed. An initial section describing the general preoperative examination of these patients is also included, so that the proper surgical strategy can be developed prior to entering the operating room. "
2,"Sulphasalazine and prednisone compared with sulphasalazine for treating active Crohn disease. A double-blind, randomized, multicenter trial. OBJECTIVE: To determine whether sulphasalazine plus prednisone is more effective than sulphasalazine alone in treating active Crohn disease. DESIGN: Randomized, double-blind, placebo-controlled trial. SETTING: Multicenter trial in one university hospital and nine general hospitals. PATIENTS: Patients with active Crohn disease and a Van Hees Activity Index of 140 or more. Of 71 patients who were randomly assigned, 60 completed treatment and were analyzed. INTERVENTIONS: For 16 weeks, 30 patients received sulphasalazine, 6 g/d (or 4 g/d if adverse effects occurred) and prednisone, 30 mg/d initially. Prednisone therapy was tapered in increments of 5 mg/2 wk to 10 mg/d after 8 weeks. Thirty other patients received sulphasalazine and a placebo. MEASUREMENTS AND MAIN RESULTS: In the first 6 weeks of treatment, the Van Hees Activity Index decreased to a median of 70% (interquartile range, 57% to 81%) of the initial value in patients treated with sulphasalazine and prednisone and to a median of 87% (interquartile range, 70% to 94%) in patients treated with sulphasalazine alone (P = 0.001). In the last 4 weeks of treatment, the corresponding figures were 63% (interquartile range, 40% to 75%) and 70% (interquartile range, 54% to 90%) (P = 0.10). The Crohn's Disease Activity Index decreased in the first 6 weeks to a median of 65% (interquartile range, 57% to 86%) in patients receiving sulphasalazine and prednisone and to a median of 75% (interquartile range, 58% to 101%) in patients receiving sulphasalazine alone (P = 0.13). In the last 4 weeks of treatment, the corresponding figures were 65% (interquartile range, 42% to 90%) and 76% (interquartile range, 49% to 110%) (P = 0.19). CONCLUSIONS: The use of prednisone in addition to sulphasalazine in patients with active Crohn disease results in a significantly faster initial improvement, but not in a significantly better result after 16 weeks of treatment, when disease activity is measured by the Van Hees Activity Index. "
5,"Aerobic and anaerobic microbiology of acute suppurative parotitis. Aspirates of pus from acute suppurative parotitis were studied for aerobic and anaerobic bacteria. Bacterial growth was present in 23 specimens. A total of 36 bacterial isolates (20 anaerobic and 16 aerobic and facultative) were recovered, accounting for 1.6 isolates per specimen (0.9 anaerobic and 0.7 aerobic and facultative). Anaerobic bacteria only were present in 10 (43%) patients, aerobic and facultatives in 10 (43%), and mixed aerobic and anaerobic flora in 3 (13%). Single bacterial isolates were recovered in 9 infections, 6 of which were Staphylococcus aureus and 3 were anaerobic bacteria. The predominant bacterial isolates were S. aureus (8 isolates), Bacteroides sp. (6 isolates, including 4 Bacteroides melaninogenicus group), and Peptostreptococcus sp. (5). beta-Lactamase-producing organisms were recovered from 11 (73%) of the 15 specimens tested. This study highlights the polymicrobial nature and importance of anaerobic bacteria in acute suppurative parotitis. "
1,"Microscopic pulmonary tumor embolism causing subacute cor pulmonale: a difficult antemortem diagnosis [published erratum appears in Mayo Clin Proc 1991 Apr;66(4):439] Microscopic pulmonary tumor embolism is difficult to diagnose. The most common initial clinical symptom is subacute progressive dyspnea, and the initial laboratory evaluation typically shows hypoxemia in a patient with clear lung fields on a chest roentgenogram. Another distinguishing feature may be hepatic abnormalities. In general, pulmonary angiography discloses no evidence of emboli, but multiple subsegmental peripheral perfusion defects are noted on ventilation-perfusion lung scans. The diagnosis of microscopic pulmonary tumor embolism can be confirmed by open-lung or transbronchial lung biopsy or by microvascular pulmonary cytology, a less invasive procedure that could be performed at the time of pulmonary angiography. Herein we describe two patients with unsuspected microscopic pulmonary tumor embolism that eventuated in subacute cor pulmonale and death. These cases illustrate the characteristic findings of this entity and emphasize the need for early diagnosis. "
3,"Special considerations for research with pharmacologic agents. As physical medicine and rehabilitation becomes more and more complicated, the medical rehabilitation research teams are often bewildered by the sweeping changes occurring in the application of therapeutic drugs for rehabilitation. Society, through the instrument of governmental regulations, dictates that all new treatments must be efficacious before ""release."". "
4,"Efficacy of percutaneous mitral balloon valvuloplasty with the inoue balloon. Percutaneous mitral balloon valvuloplasty has become an accepted technique for use in selected patients with severe, symptomatic mitral stenosis. Recently, a new balloon catheter with an ""hourglass"" shape and specially designed guidewires and dilators has become available (Inoue balloon). The design of this balloon provides ease of manipulation and self-stabilization across the mitral valve during inflation. These features should decrease the incidence of complications associated with the procedure. Preliminary results in 12 consecutive patients who underwent percutaneous mitral balloon valvuloplasty with the Inoue balloon are presented. The mitral valve area increased from 0.92 +/- 0.21 cm2 before the procedure to 1.75 +/- 0.40 cm2 after the procedure. No complications occurred from the procedure, including no increase in severity of mitral regurgitation or creation of an atrial septal defect. Further follow-up is necessary to determine the long-term efficacy with this new balloon. Nonetheless, the preliminary results are encouraging. "
5,"Systolic wall stress and ventricular arrhythmia: the role of acute change in blood pressure in the isolated working rat heart. 1. The effect of a sudden acute change in blood pressure upon arrhythmia provocation has been studied in an isolated working heart model from the Wistar-Kyoto strain of rat. Twenty-four hearts were studied. 2. They were perfused with two different, modified, Krebs-Henseleit solutions at a fixed left atrial pressure. 3. Acute changes in pressure, both increases and decreases, were arrhythmogenic. Whilst ectopic activity was more predictably produced by pressure reductions, this consisted of simple ventricular ectopics only. Pressure increases, in contrast, were capable of provoking more complex and sustained arrhythmias. 4. The effect of pressure changes were highly dependent upon electrolyte concentrations in the perfusate. Low potassium and magnesium concentrations increased the amount of arrhythmia provoked by pressure increases but tended to reduce that provoked by pressure reductions. 5. We conclude that the direct effect of an acute change in pressure upon the myocardium is arrhythmogenic. However, the myocardial response to a pressure change is interdependent upon prevailing electrolyte concentrations. "
2,"Visceral protothecosis mimicking sclerosing cholangitis in an immunocompetent host: successful antifungal therapy. A healthy 39-year-old man who had clinical findings consistent with sclerosing cholangitis was found to have systemic protothecosis at surgery. Severe granulomatous inflammation and palpable nodules were found in the gallbladder, on the surface of the liver, and in the duodenum. Prototheca wickerhamii was detected in biopsied specimens and stool; the titer of indirect fluorescent antibody to this organism was 1:2,000. The patient recovered after a short course of treatment with amphotericin B and 3 months of oral therapy with ketoconazole. He had no other concurrent illness and had no abnormality in his immune system. This is the second reported human case of systemic protothecosis. An elevated IgG level, an elevated erythrocyte sedimentation rate, eosinophilia, and abnormal levels of enzymes in the liver were found in both cases. Protothecosis should be considered in the differential diagnosis of hepatic and biliary inflammatory diseases of uncertain etiology. "
3,"Muscle biopsy for diagnosis of malignant hyperthermia susceptibility in two patients with severe exercise-induced myolysis. Muscle biopsy and in vitro contracture tests for diagnosis of susceptibility to malignant hyperthermia (MH) were performed in two patients who had developed fever and severe myolysis during exercise. MH susceptibility was confirmed in one patient, but in the other, exercise-induced heat stroke proved to be the correct diagnosis. Clinical presentation and epidemiology of exercise-induced MH and its relation to the heat stroke syndrome are discussed. "
4,Pulmonary hypertension five years after left pneumonectomy for adenoid cystic carcinoma. We report the findings in a patient with shortness of breath due to pulmonary hypertension five years after left pneumonectomy. Mediastinal recurrence of an incompletely resected and slowly growing adenoid cystic carcinoma of the left main bronchus had encased the right main pulmonary artery. 
2,"Bleeding ectatic vascular lesion involving the sigmoid colon, endoscopically indistinguishable from angiodysplasia, in an 8-yr-old boy. An 8-yr-old Japanese boy was hospitalized, complaining of active hematochezia. He was shown to have a cherry-red, blood-oozing area of vascular dilation with mucosal prominence in the sigmoid colon by endoscopy, but had no other mucocutaneous vascular abnormalities. A family history was noncontributory. Under the clinical diagnosis of angiodysplasia of the sigmoid colon, he underwent an elliptical resection of the part, based on the intraoperative endoscopic findings. However, histological examination of the surgical specimen revealed a totally different picture from that seen in angiodysplasia: the thin-walled, markedly ectatic, nontortuous veins with hemorrhage were seen only just below the muscularis mucosae, around which the normal ones were shown to coexist. He has had no rebleeding for the past 3 yr. This lesion is considered to be an isolated congenital visceral telangiectasia involving veins. "
4,"Effects of anxiety on family members of patients with cardiac disease learning cardiopulmonary resuscitation. The effects of anxiety on learning cardiopulmonary resuscitation (CPR) by family members of patients with cardiac disease was examined. Family members of hospitalized patients (n = 17), family members of nonhospitalized patients (n = 12), and a control group (n = 21) all took one of nine Heart Saver programs in which CPR was taught and performance evaluated. Subjects took the State Anxiety Inventory three times: immediately before the program, immediately after the performance test, and 2 months after completion of the program. Family members of hospitalized patients had significantly higher before-program anxiety scores than the other groups. This difference was not present immediately after the program or 2 months later. Family members of hospitalized patients showed a significant decline in anxiety over the three testing times. These outcomes support the benefit of teaching CPR to this group. "
3,"Maple syrup urine disease caused by a partial deletion in the inner E2 core domain of the branched chain alpha-keto acid dehydrogenase complex due to aberrant splicing. A single base deletion at a 5'-splice donor site of an intron of the E2 gene disrupts the consensus sequence in this region. We have studied the molecular bases of maple syrup urine disease by analyzing the activity, subunit structure, mRNA sequence, and the genome of the affected enzyme. The branched chain alpha-keto acid dehydrogenase (BCKDH) activity in the patient was 4.2-4.5% of the control level. Immunoblot analysis revealed that the E2 subunit of BCKDH (Mr 52,000) was absent and another protein band with an Mr of 49,000 was present. We amplified the cDNA of the E2 subunit obtained from the patient's cell using the polymerase chain reaction method, then sequenced the amplified cDNA, in which a 78-bp deletion was identified. The consanguineous parents and a sister had two species of mRNA; the one corresponding to the normal E2 subunit and the other with a 78-bp deletion, whereas findings in a brother were normal. The molecular size of the translation products as deduced from the abnormal mRNA sequence was compatible with an abnormal protein band (Mr 49,000) detected in the patient's cells by immunoblot analysis. Analysis of genomic DNA of BCKDH-E2 subunit revealed that the 78-bp deletion in the mRNA was caused by an exon skipping due to a single base deletion in the 5'-splice donor site. As a result of the mutation, part of the inner E2 core domain was omitted. The specified region of the inner E2 core domain was highly homologous to the region of the E2 subunit of pyruvate dehydrogenase and alpha-ketoglutarate dehydrogenase. These observations imply the biological importance of the region in the inner E2 core domain of BCKDH to maintain normal function of the activity. "
3,"Tuberothalamic infarct after division of a hypoplastic posterior communicating artery for clipping of a basilar tip aneurysm: case report. The authors present a case of a tuberothalamic infarct subsequent to division of the posterior communicating artery for clipping of a high-lying aneurysm of the basilar bifurcation using the pterional approach. In view of this clinical observation and some particular aspects of the microsurgical anatomy of the perforating vessels of the posterior communicating artery, we conclude that interrupting this parent vessel carries a significant risk of infarction. "
5,"Longitudinal study of diagnoses in children of women with unipolar and bipolar affective disorder. School-age children of unipolar depressed, bipolar, chronically medically ill, or normal women were diagnosed every 6 months for up to 3 years. Offspring of unipolar women had the highest rates of disorder at all evaluations, but children of bipolar and medically ill mothers also experienced significant rates of disorder. Observing diagnoses from both past lifetime and prospective follow-up assessments, it appeared that most children who had diagnoses had onsets in preadolescence and continued a chronic or intermittent course of disorder. Thus, risk to offspring of ill mothers is not transitory and indicates a pernicious course that commonly includes effective disorders alone or in combination with behavior and anxiety disorders. "
4,"Popliteal vascular trauma. A community experience. Preventing amputation continues to be a significant challenge when popliteal vascular injuries occur. A retrospective review of cases from the San Diego County (California) Trauma System identified 108 patients with 76 blunt and 32 penetrating arterial injuries. The limb preservation rate was 88%; there were 13 amputations. The fracture-dislocated knee injury and close-range shotgun blasts were particularly limb threatening. In general, the trauma system achieved rapid evaluation of injuries and early operative intervention. All 13 patients who underwent amputations presented with signs of severe ischemia. Concomitant injuries to the popliteal vein, tibial nerves, and soft tissue were significantly more frequent in patients who underwent amputations. The importance of complete fasciotomy for compartment hypertension, early reconstructive management of soft-tissue injuries, and expeditious arterial repair, frequently without preoperative roentgenographic suite arteriography, is emphasized. An aggressive, multidisciplinary approach is required to achieve a functional extremity when popliteal vascular trauma occurs. "
3,"Effect of plasmapheresis on serum and CSF autoantibody levels in CNS paraneoplastic syndromes. We compared the effect of plasmapheresis on antineuronal autoantibody titers in the serum and CSF of 3 patients with CNS paraneoplastic syndromes. Plasmapheresis reduced the serum autoantibody titer to 20% of the initial levels in the 3 patients, but the CSF autoantibody titer decreased only in the patient with severe damage of the blood-brain barrier. "
3,"Effects of acute hypermagnesemia on the threshold for lidocaine-induced seizures in the rat. The effects of acute changes in plasma magnesium concentration on the threshold for lidocaine-induced seizures were evaluated in mechanically ventilated rats receiving 70% nitrous oxide and 30% oxygen. In experiment 1, male rats were intravenously administered either 0.9% sodium chloride (group I) or 5.0% magnesium sulfate to elevate plasma magnesium levels to 5.8 +/- 0.1 (group II) or 10.5 +/- 1.0 mg/dl (group III). In experiment 2, pregnant rats were intravenously administered either 0.9% sodium chloride (normomagnesemia) or magnesium sulfate, resulting in a plasma magnesium concentration of 7.8 +/- 1.4 mg/dl. Thirty minutes later, a continuous intravenous infusion of lidocaine (2.3 mg/kg per minute) was begun in both experiments. Biparietal electroencephalographic activity was monitored continuously. At the onset of electroencephalographic seizure activity, arterial plasma magnesium and lidocaine concentrations were measured. In groups I and III (experiment 1), brain parenchymal magnesium was also assayed. There were no differences in plasma lidocaine concentrations (in experiments 1 or 2) between saline solution and hypermagnesemic groups at onset of seizures. Brain magnesium level was unaltered by magnesium sulfate infusion. We conclude that acute administration of magnesium sulfate alters neither brain magnesium level nor the plasma lidocaine concentration associated with onset of electroencephalographic seizures. "
